From,To,Distance,Duration
Fiji,Luxembourg,0,0
Tadjourah,Micronesia,0,0
Korçë,French Southern Territories,0,0
Manipur,United Kingdom,0,0
South Sudan,Bhutan,0,0
Chile,New Caledonia,0,0
Kairouan,Tunisia,0,0
Nampho,Peru,0,0
Embu,Iceland,0,0
Guinea,Samoa,18458.34,760
Ash Shamāl,Zambia,0,0
Palau,Honduras,0,0
Slovenia,"Luxembourg City, Luxembourg",764.08,21
Chile,Gibraltar,0,0
Croatia,Bosnia and Herzegovina,236.58,6
New Caledonia,Malawi,0,0
Isle of Man,Faroe Islands,0,0
Croatia,Poland,0,0
Ntungamo,Mayotte,0,0
Gambia,Saint Kitts and Nevis,0,0
Isle of Man,Senegal,0,0
Fiji,Egypt,0,0
Georgia,Slovenia,0,0
Cambodia,Madagascar,8589.800000000001,345
Rožaje,Colombia,0,0
Lebanon,Hong Kong,0,0
Cayman Islands,Lithuania,0,0
Kairouan,American Samoa,0,0
Finland,St. Helena,0,0
Mayotte,Slovenia,0,0
Limburg,South Africa,0,0
Dosso,Austria,0,0
Dzhalal-Abadskaya oblast',Malaysia,0,0
Paraguay,Faroe Islands,0,0
Dowa,Sweden,0,0
Al Farwānīyah,United States,0,0
Finland,Reunion,0,0
Cayman Islands,Sweden,0,0
Viangchan,Iraq,0,0
Samoa,United Kingdom,0,0
Cayman Islands,Afghanistan,0,0
Puerto Rico,Oman,0,0
Grandans,Mexico,0,0
Kampong Spueu,Liechtenstein,0,0
Norway,Antigua and Barbuda,0,0
Mauritania,Costa Rica,0,0
Tajikistan,Serbia,4163.9,118
Saint-Martin,Liberia,0,0
Lakes,Faroe Islands,0,0
Tajikistan,Samoa,0,0
French Polynesia,"Congo, The Democratic Republic of the",0,0
"Sabadell, Barcelona, Spain",Faroe Islands,31.19,3
Belize,Norway,0,0
Northern Mariana Islands,Suriname,0,0
Călărași,Ecuador,0,0
Guatemala,Libya,0,0
Georgia,Fiji,0,0
Saint David,Austria,0,0
Denmark,"Greenland, NH, USA",6040.7,250
Dobrich,Jersey,0,0
Saint David,Japan,0,0
Belize,Greece,0,0
Bermuda,Ethiopia,0,0
United States,Cabo Verde,0,0
"Sabadell, Barcelona, Spain",Belarus,5826.92,238
Bermuda,Central African Rep,0,0
"Berkane, Morocco","Cabo Verde, MG, 37880-000, Brazil",8507.08,348
Finland,Gabon,0,0
Equatorial Guinea,Latvia,0,0
Acquaviva,Honduras,0,0
Bermuda,Ghana,0,0
Sierra Leone,Dominica,0,0
Mubārak al Kabīr,United Arab Emirates,0,0
Cook Islands,Oman,0,0
Tanzania,Aruba,0,0
Acquaviva,Oman,0,0
Triesen,Senegal,0,0
Saint Barthélemy,Chile,0,0
Fier,Norway,0,0
Denmark,Norway,0,0
Sumqayıt,Iran,0,0
Samdrup Jongkhar,Serbia,0,0
"Toamasina, Madagascar",Guam,12.36,15
Bādghīs,Hong Kong,0,0
Bosnia And Herzegowina,New Caledonia,0,0
Umm Şalāl,Australia,0,0
Salamat,Mayotte,0,0
Samdrup Jongkhar,Gibraltar,0,0
Umm Şalāl,Faroe Islands,0,0
Belize,Isle of Man,0,0
Argentina,Brunei Darussalam,0,0
Rangárþing eystra,Montserrat,0,0
"Badghisi, Afghanistan",New Caledonia,14509.47,588
Malaysia,Cyprus,0,0
Malaysia,Tokelau,10759.37,435
Bermuda,Barbados,0,0
Georgia,Trinidad and Tobago,0,0
Belize,France,0,0
Sul,Heard Island and McDonald Islands,0,0
Mozambique,Ecuador,0,0
Sumqayıt,Suriname,0,0
Umm Şalāl,Philippines,0,0
Saint Peter,Marlborough,0,0
British Indian Ocean Territory,Congo,0,0
Chad,Cayman Islands,0,0
Dobrich,Bouvet Island,0,0
"Fier, Albania",Greece,1118.46,43
Saint George,Cambodia,0,0
Saint Barthélemy,Suriname,0,0
Dire Dawa,Korçë,0,0
Georgia,Ukraine,0,0
Dominican Republic,Croatia,0,0
Argentina,Oman,0,0
Afghanistan,"Ghanzi, Botswana",12610.03,41
Paraguay,Elbasan,0,0
Botswana,"Ghanzi, Botswana",320.83,9
Dominican Republic,Djelfa,0,0
Nauru,Balkan,0,0
Antigua and Barbuda,Bouvet Island,0,0
Mozambique,Korçë,0,0
Belize,Réunion,0,0
Balıkesir,Sweden,0,0
Afghanistan,Samoa,0,0
Malaysia,Elbasan,0,0
Bouvet Island,Martinique,0,0
Triesen,French Southern Territories,0,0
Berkane,Shariatpur,0,0
Malaysia,Brvenica,0,0
Saint Vincent and the Grenadines,Laghmān,0,0
Argentina,"Congo, The Democratic Republic of the",0,0
Gabon,Tuvalu,0,0
Argentina,Slovenia,13622.07,560
Samoa,Rače-Fram,0,0
Greenland,Mersch,0,0
Paraguay,Ntungamo,0,0
American Samoa,Slovenia,0,0
Bermuda,Kadavu,0,0
Bouvet Island,Minas Gerais,0,0
Marshall Islands,Solomon Islands,0,0
Al Farwānīyah,Mersch,0,0
New Caledonia,Greece,0,0
Sudan,Nampho,0,0
Sudan,Slovenia,74.50999999999999,6
Saint Peter,Saint-Martin,0,0
Argentina,Guadeloupe,0,0
Paraguay,Slovenia,14194.0,582
Palau,Dowa,0,0
Denmark,Munster,0,0
Palau,Mahilioŭskaja voblasć,0,0
Botswana,Korçë,0,0
Argentina,Slovenia,13622.07,560
Sumqayıt,Suriname,0,0
Umm Şalāl,Philippines,0,0
Saint Peter,Marlborough,0,0
British Indian Ocean Territory,Congo,0,0
Chad,Cayman Islands,0,0
Dobrich,Bouvet Island,0,0
"Fier, Albania",Greece,1118.46,43
Saint George,Cambodia,0,0
Saint Barthélemy,Suriname,0,0
Dire Dawa,Korçë,0,0
Georgia,Ukraine,0,0
Dominican Republic,Croatia,0,0
Argentina,Oman,0,0
Afghanistan,"Ghanzi, Botswana",12610.03,41
Paraguay,Elbasan,0,0
Botswana,"Ghanzi, Botswana",320.83,9
Dominican Republic,Djelfa,0,0
Nauru,Balkan,0,0
Antigua and Barbuda,Bouvet Island,0,0
Mozambique,Korçë,0,0
Belize,Réunion,0,0
Balıkesir,Sweden,0,0
Afghanistan,Samoa,0,0
Malaysia,Elbasan,0,0
Bouvet Island,Martinique,0,0
Triesen,French Southern Territories,0,0
Berkane,Shariatpur,0,0
Malaysia,Brvenica,0,0
Saint Vincent and the Grenadines,Laghmān,0,0
Argentina,"Congo, The Democratic Republic of the",0,0
Gabon,Tuvalu,0,0
Argentina,Slovenia,13622.07,560
Samoa,Rače-Fram,0,0
Greenland,Mersch,0,0
Paraguay,Ntungamo,0,0
American Samoa,Slovenia,0,0
Bermuda,Kadavu,0,0
Bouvet Island,Minas Gerais,0,0
Marshall Islands,Solomon Islands,0,0
Al Farwānīyah,Mersch,0,0
New Caledonia,Greece,0,0
Sudan,Nampho,0,0
Sudan,Slovenia,74.50999999999999,6
Saint Peter,Saint-Martin,0,0
Argentina,Guadeloupe,0,0
Paraguay,Slovenia,14194.0,582
Palau,Dowa,0,0
Denmark,Munster,0,0
Palau,Mahilioŭskaja voblasć,0,0
Botswana,Korçë,0,0
Argentina,Slovenia,13622.07,560
British Indian Ocean Territory,Fier,0,0
Tochigi,Saint Barthélemy,0,0
United Arab Emirates,Northern Mariana Islands,0,0
Malaysia,Niue,0,0
"Sabadell, Barcelona, Spain",Slovenia,2492.9500000000003,100
Saint George,Congo,0,0
Kayes,Denmark,0,0
Marshall Islands,Borkou,0,0
Neuquén,American Samoa,0,0
Brașov,Cook Islands,0,0
"Greenland, NH, USA",Slovenia,49.23,10
Argentina,Malaysia,0,0
Solomon Islands,Al Farwānīyah,0,0
Sumqayıt,Brașov,0,0
Guadeloupe,Mato Grosso,0,0
Berkane,Acquaviva,0,0
Palau,Kayes,0,0
Umm Şalāl,Antigua and Barbuda,0,0
Dobrich,Niue,0,0
Sumqayıt,Denmark,0,0
Argentina,British Indian Ocean Territory,0,0
Laos,Slovenia,8243.02,235
Niue,Paraguay,0,0
Georgia,Argentina,0,0
Saint David,American Samoa,0,0
Malaysia,Neuquén,0,0
Argentina,Slovenia,13622.07,560
Tirol,Equatorial Guinea,0,0
Botswana,United Arab Emirates,0,0
Argentina,Slovenia,13622.07,560
Argentina,Slovenia,13622.07,560
Paraguay,Slovenia,14194.0,582
Mozambique,Belize,0,0
Equatorial Guinea,Congo,0,0
Gabon,Stann Creek,0,0
Mozambique,Slovenia,9994.75,406
Mato Grosso,Borkou,0,0
"Triesen, Liechtenstein",Slovenia,75.50999999999999,3
Guernsey,Lusaka,0,0
Australia,Niue,0,0
Al Farwānīyah,Georgia,0,0
Ménaka,Saba,0,0
Sierra Leone,Saint Barthélemy,0,0
Argentina,Paraguay,0,0
Tochigi,Bahamas,0,0
Cook Islands,Sumqayıt,0,0
United States Minor Outlying Islands,American Samoa,0,0
Cook Islands,Belize,0,0
Sul,Finland,0,0
Saba,Gabon,0,0
Morocco,Gabon,4124.74,117
Nauru,Gabon,0,0
"Saint-Barthélemy-d'Anjou, France",Niue,17.02,22
Argentina,Niue,0,0
Călărași,Niue,0,0
Belarus,Niue,21963.39,909
Solomon Islands,Niue,0,0
Switzerland,Niue,0,0
Belize,Niue,0,0
Congo,Niue,0,0
Niue,Călărași,0,0
Georgia,Călărași,0,0
Greenland,Balıkesir,0,0
Equatorial Guinea,Balıkesir,0,0
Al Farwānīyah,Balıkesir,0,0
Brașov,Georgia,0,0
"Pitcairn, PA, USA",Georgia,11224.07,463
Samdrup Jongkhar,Georgia,0,0
Saint Andrew,Georgia,0,0
Vila Real,Georgia,0,0
Denmark,Georgia,0,0
Belize,Georgia,0,0
Dire Dawa,Georgia,0,0
Rangárþing eystra,Georgia,0,0
Australia,Samoa,0,0
Afghanistan,Samoa,0,0
Saba,Samoa,0,0
Georgia,Samoa,23357.3,46
Saba,Samoa,0,0
"Tochigi, Tochigi Prefecture, Japan",Samoa,7648.71,315
Saint Andrew,Samoa,0,0
Kayes,Samoa,0,0
Neuquén,Samoa,0,0
Guadeloupe,Samoa,0,0
Água Grande,American Samoa,0,0
Samoa,American Samoa,0,0
Northern Mariana Islands,American Samoa,0,0
Argentina,American Samoa,0,0
Salamat,American Samoa,0,0
Croatia,American Samoa,0,0
Mpigi,American Samoa,0,0
Tacuarembó,American Samoa,0,0
Afghanistan,American Samoa,0,0
Argentina,Sierra Leone,0,0
Samoa,Sierra Leone,0,0
Tirol,United States Minor Outlying Islands,0,0
Saint David,United States Minor Outlying Islands,0,0
"Saint-Barthélemy-d'Anjou, France",United States Minor Outlying Islands,21749.98,902
Berkane,United States Minor Outlying Islands,0,0
Dire Dawa,United States Minor Outlying Islands,0,0
Saint Pierre and Miquelon,United States Minor Outlying Islands,0,0
Botswana,United States Minor Outlying Islands,16606.71,679
Al Farwānīyah,United States Minor Outlying Islands,0,0
Bādghīs,United States Minor Outlying Islands,0,0
Argentina,United States Minor Outlying Islands,0,0
Australia,Argentina,0,0
Sumqayıt,Argentina,0,0
Mato Grosso,Argentina,0,0
Suriname,Argentina,0,0
British Indian Ocean Territory,Argentina,0,0
Niue,Bādghīs,0,0
Brașov,Bādghīs,0,0
Guadeloupe,Bādghīs,0,0
Belize,Saba,0,0
Bermuda,Saba,0,0
Samdrup Jongkhar,Saba,0,0
Marshall Islands,Saba,0,0
Borkou,Saba,0,0
Belize,Saba,0,0
Greenland,Saba,0,0
United States Minor Outlying Islands,Estonia,0,0
Bouvet Island,Colombia,0,0
Dire Dawa,Antarctica,0,0
Australia,Malaysia,0,0
Georgia,Malaysia,0,0
United States,Malaysia,0,0
Mubārak al Kabīr,Malaysia,0,0
Argentina,Malaysia,0,0
San Marino,Malaysia,0,0
Greenland,Malaysia,0,0
Antigua and Barbuda,Malaysia,0,0
"Neuquen, Argentina","Sumqayit, Azerbaijan",51.38,20
Paraguay,Sumqayıt,0,0
Nauru,Sumqayıt,0,0
United States Minor Outlying Islands,Sumqayıt,0,0
Rangárþing eystra,Sumqayıt,0,0
Dire Dawa,Sumqayıt,0,0
Sumqayıt,Northern Mariana Islands,0,0
Neuquén,Northern Mariana Islands,0,0
Denmark,Northern Mariana Islands,0,0
Tacuarembó,Northern Mariana Islands,0,0
Mpigi,Northern Mariana Islands,0,0
Solomon Islands,Northern Mariana Islands,0,0
Rangárþing eystra,Australia,0,0
Saba,Australia,0,0
Solomon Islands,Rangárþing eystra,0,0
Kayes,Rangárþing eystra,0,0
Bouvet Island,Rangárþing eystra,0,0
Argentina,"860 Rangárþing eystra, Iceland",12815.330000000002,529
Gabon,Rangárþing eystra,0,0
Al Farwānīyah,Rangárþing eystra,0,0
Dominican Republic,American Samoa,0,0
Kayes,American Samoa,0,0
Suriname,American Samoa,0,0
Călărași,American Samoa,0,0
Pitcairn,Mubārak al Kabīr,0,0
"Tochigi, Tochigi Prefecture, Japan",American Samoa,7782.66,320
Neuquén,Mubārak al Kabīr,0,0
Sierra Leone,Mubārak al Kabīr,0,0
Argentina,Mubārak al Kabīr,0,0
"Borkou, Chad",American Samoa,22400.64,914
Dobrich,Mubārak al Kabīr,0,0
Dire Dawa,Mubārak al Kabīr,0,0
Mozambique,Saint Barthélemy,0,0
Georgia,Saint Barthélemy,0,0
"Badghisi, Afghanistan",American Samoa,29645.149999999998,1216
Sumqayıt,Saint Barthélemy,0,0
Dobrich,Argentina,0,0
Dominican Republic,Argentina,0,0
"Brașov, Romania",American Samoa,22658.089999999997,936
Pitcairn,Belize,0,0
Argentina,Mato Grosso,0,0
Al Farwānīyah,Mato Grosso,0,0
Sudan,Mato Grosso,0,0
Niue,Mato Grosso,0,0
Bermuda,Mato Grosso,0,0
"Borkou, Chad",American Samoa,22400.64,914
Bahamas,Mato Grosso,0,0
Belarus,Saint Peter,0,0
Balıkesir,Saint Peter,0,0
Saba,Saint Peter,0,0
Samdrup Jongkhar,Saint Peter,0,0
Mubārak al Kabīr,Saint Peter,0,0
"Congonhas, State of Minas Gerais, 36415-000, Brazil",American Samoa,13996.259999999998,574
Água Grande,Bouvet Island,0,0
American Samoa,Bahamas,0,0
Tuvalu,Bahamas,0,0
Tirol,Bahamas,0,0
Solomon Islands,Bahamas,0,0
Rangárþing eystra,Bahamas,0,0
Balıkesir,Bahamas,0,0
Nauru,Bahamas,0,0
Neuquén,Georgia,0,0
Greenland,Georgia,0,0
Saint Peter,Georgia,0,0
United States,Georgia,0,0
Mpigi,Georgia,0,0
Argentina,Georgia,0,0
Afghanistan,Georgia,0,0
Chad,Georgia,0,0
Toamasina,Argentina,0,0
Croatia,American Samoa,21593.91,894
Malaysia,Argentina,0,0
Tochigi,Argentina,0,0
Al Farwānīyah,Argentina,0,0
Denmark,American Samoa,20583.05,852
Samoa,Argentina,0,0
Sul,Argentina,0,0
Guernsey,Argentina,0,0
Água Grande,Saba,0,0
Bermuda,Saba,0,0
Kayes,Saba,0,0
"Salamatpur, Madhya Pradesh 464651, India",American Samoa,28448.64,1175
Tochigi,Saba,0,0
Neuquén,Brașov,0,0
Guadeloupe,Brașov,0,0
"Sultanbeyli, Istanbul, Turkey",American Samoa,21982.41,911
Gabon,Brașov,0,0
Bādghīs,Brașov,0,0
Mubārak al Kabīr,Brașov,0,0
Saba,Brașov,0,0
Nauru,Northern Mariana Islands,0,0
"Menaka, Mali",American Samoa,21484.489999999998,882
Finland,Northern Mariana Islands,0,0
Argentina,Northern Mariana Islands,0,0
Vila Real,Croatia,0,0
Tacuarembó,Croatia,0,0
Bahamas,Belize,0,0
Bouvet Island,Belize,0,0
United States,Belize,0,0
"Berkane, Morocco",American Samoa,19073.29,789
United States,Zaire,0,0
Sierra Leone,Palau,0,0
Bermuda,Tacuarembó,0,0
Bermuda,Tacuarembó,0,0
Belize,Tacuarembó,0,0
Neuquén,Tacuarembó,0,0
United States Minor Outlying Islands,Tacuarembó,0,0
Qatar,Tacuarembó,0,0
Borkou,Tacuarembó,0,0
Georgia,American Samoa,23220.35,960
Niue,Georgia,0,0
Belize,Georgia,0,0
Georgia,Georgia,0,0
Chalatenango,Georgia,0,0
Paraguay,Georgia,0,0
Acquaviva,Georgia,0,0
Brașov,British Indian Ocean Territory,0,0
Denmark,American Samoa,20583.05,852
Mubārak al Kabīr,British Indian Ocean Territory,0,0
Balıkesir,British Indian Ocean Territory,0,0
Georgia,British Indian Ocean Territory,0,0
Saba,Switzerland,0,0
Burkina Faso,Switzerland,0,0
Greenland,Switzerland,0,0
Saba,Mozambique,0,0
Switzerland,Mozambique,0,0
Afghanistan,American Samoa,29516.16,1189
Northern Mariana Islands,Mozambique,0,0
Argentina,American Samoa,11960.41,492
Dobrich,Mozambique,0,0
Mato Grosso,Mozambique,0,0
Ménaka,Mozambique,0,0
Chad,Mozambique,0,0
Dominican Republic,Panama,0,0
Paraguay,American Samoa,0,0
Switzerland,American Samoa,0,0
"Neuquen, Argentina",American Samoa,11421.45,467
Solomon Islands,American Samoa,0,0
Cape Verde,British Indian Ocean Territory,0,0
Kayes,British Indian Ocean Territory,0,0
Guadeloupe,British Indian Ocean Territory,0,0
Bādghīs,British Indian Ocean Territory,0,0
"Fier, Albania",American Samoa,21087.69,874
Botswana,Tochigi,0,0
Saint Pierre and Miquelon,Tochigi,0,0
Mato Grosso,Tochigi,0,0
Mubārak al Kabīr,Tochigi,0,0
Rangárþing eystra,Tochigi,0,0
Gabon,Tochigi,0,0
Antigua and Barbuda,Tochigi,0,0
Georgia,Tochigi,0,0
"Fier, Albania",American Samoa,21087.69,874
Chalatenango,Croatia,0,0
Niue,Croatia,0,0
British Indian Ocean Territory,Croatia,0,0
Belize,Croatia,0,0
"EWR, qưe, 1297 Newark, Switzerland",American Samoa,20741.989999999998,857
Saint George,Croatia,0,0
Guernsey,Croatia,0,0
"Balikesir, Balıkesir Province, Turkey",American Samoa,21933.65,907
Ukraine,Croatia,0,0
Palau,Mexico,0,0
"Brașov, Romania",Croatia,2743.1399999999994,109
Samoa,Mato Grosso,0,0
"Salamatpur, Madhya Pradesh 464651, India",Croatia,8585.89,350
Brașov,Mato Grosso,0,0
Germany,Mato Grosso,0,0
"Kayes, Mali",Croatia,6398.04,257
San Marino,Mozambique,0,0
Água Grande,Mozambique,0,0
Niue,Triesen,0,0
Tochigi,Liechtenstein,0,0
Georgia,Triesen,0,0
United States Minor Outlying Islands,Niue,0,0
Georgia,Croatia,3305.39,132
Nauru,Niue,0,0
Equatorial Guinea,Niue,0,0
"17110 Saint-Georges-de-Didonne, France",Croatia,1264.77,36
Saint Andrew,Niue,0,0
Triesen,Niue,0,0
Brașov,Niue,0,0
British Indian Ocean Territory,Niue,0,0
Belize,Chad,0,0
Mpigi,Chad,0,0
Mali,Chad,0,0
Niue,Chad,0,0
Sierra Leone,Chad,0,0
Argentina,"Chadstone VIC 3148, Australia",13175.18,544
Saint David,Congo,0,0
"45000 Tacuarembo, Tacuarembó Department, Uruguay","Chadstone VIC 3148, Australia",12384.14,510
Toamasina,Congo,0,0
Northern Mariana Islands,Congo,0,0
Bouvet Island,Congo,0,0
Borkou,Congo,0,0
"Saint-David-de-Falardeau, QC G0V 1C0, Canada","Chadstone VIC 3148, Australia",48.9,23
Belize,Malaysia,0,0
Dire Dawa,Malaysia,0,0
Nauru,"Chadstone VIC 3148, Australia",5070.8,211
Nepal,Saint Peter,0,0
Argentina,Saint Peter,0,0
Niue,"Chadstone VIC 3148, Australia",4996.400000000001,208
Acquaviva,Niue,0,0
"Pitcairn, PA, USA","Chadstone VIC 3148, Australia",23.799999999999997,22
Bermuda,New Caledonia,0,0
Acquaviva,New Caledonia,0,0
Niue,New Caledonia,0,0
Saint Pierre and Miquelon,United Arab Emirates,0,0
United States Minor Outlying Islands,United Arab Emirates,0,0
Brașov,United Arab Emirates,0,0
Bādghīs,United Arab Emirates,0,0
Balıkesir,United Arab Emirates,0,0
Saint David,United Arab Emirates,0,0
Palau,Georgia,0,0
Água Grande,Georgia,0,0
New Caledonia,Sul,0,0
Balıkesir,Sul,0,0
Australia,Sul,0,0
Northern Mariana Islands,Acquaviva,0,0
Finland,Acquaviva,0,0
Gabon,Acquaviva,0,0
Saint Andrew,Acquaviva,0,0
Antigua and Barbuda,Acquaviva,0,0
Al Janūbīyah,Saba,0,0
Umm Şalāl,Saba,0,0
Brașov,Saba,0,0
Salamat,Anguilla,0,0
Afghanistan,Anguilla,0,0
Al Janūbīyah,Anguilla,0,0
Cook Islands,Anguilla,0,0
Denmark,"Chadstone VIC 3148, Australia",21423.78,889
Neuquén,Anguilla,0,0
Anguilla,Tacuarembó,0,0
Mubārak al Kabīr,Tacuarembó,0,0
Sudan,Tacuarembó,0,0
Marshall Islands,Tacuarembó,0,0
Saba,Tacuarembó,0,0
Guinea-bissau,Tacuarembó,0,0
Sierra Leone,Acquaviva,0,0
Saint Pierre and Miquelon,Acquaviva,0,0
Botswana,Acquaviva,0,0
American Samoa,Acquaviva,0,0
Argentina,Acquaviva,0,0
Cook Islands,Saint Barthélemy,0,0
Samdrup Jongkhar,Saint Barthélemy,0,0
Northern Mariana Islands,Saint Barthélemy,0,0
Finland,Argentina,0,0
"Dobrich, Bulgaria","Chadstone VIC 3148, Australia",53.39,20
Palau,Argentina,0,0
Vila Real,Argentina,0,0
Brașov,Argentina,0,0
Sao Tome,Malaysia,0,0
Moldova,Iran,0,0
Bahrain,Malta,0,0
Bosnia And Herzegowina,Dominican Republic,0,0
Vanuatu,Chad,0,0
Cameroon,Macau,0,0
South Africa,Vatican City State,0,0
Anguilla,Germany,0,0
Netherlands Antilles,Morocco,0,0
Ethiopia,Yemen,0,0
Moldova,Costa Rica,0,0
United Kingdom,Malaysia,0,0
Egypt,Trinidad And Tobago,0,0
Malta,St.Pierre,0,0
Japan,Argentina,0,0
Portugal,Honduras,0,0
Papua New Guinea,Jamaica,0,0
Burundi,Sao Tome,0,0
Slovenia,Samoa,0,0
Virgin Islands (U.S.),Germany,0,0
Brunei Darussalam,Neuquén,0,0
Kuwait,Argentina,0,0
American Samoa,Argentina,0,0
Belize,Bermuda,0,0
Água Grande,Bermuda,0,0
Chalatenango,Bermuda,0,0
Dominica,Cook Islands,0,0
Nauru,Cook Islands,0,0
Fier,Cook Islands,0,0
Mubārak al Kabīr,Cook Islands,0,0
Balıkesir,Cook Islands,0,0
Brașov,Cook Islands,0,0
Gabon,Cook Islands,0,0
"Berkane, Morocco",Cook Islands,18008.329999999998,747
Al Farwānīyah,Cook Islands,0,0
Niue,Samoa,667.69,27
Mozambique,Samoa,0,0
American Samoa,Samoa,0,0
Saint Peter,Samoa,0,0
Sumqayıt,Samoa,0,0
Georgia,Acquaviva,0,0
Argentina,Acquaviva,0,0
Argentina,Acquaviva,0,0
Bouvet Island,San Marino,0,0
Christmas Island,Acquaviva,0,0
Switzerland,Acquaviva,0,0
Neuquén,Dominican Republic,0,0
Denmark,Dominican Republic,0,0
Ménaka,Argentina,0,0
Argentina,Argentina,0,0
"Mpigi, Uganda",Argentina,12615.3,508
Australia,Balıkesir,0,0
Tacuarembó,Saint Pierre and Miquelon,0,0
Al Farwānīyah,Saint Pierre and Miquelon,0,0
Sudan,Saint Pierre and Miquelon,0,0
United States Minor Outlying Islands,Bouvet Island,0,0
Greenland,Bouvet Island,0,0
Pitcairn,Bouvet Island,0,0
Marshall Islands,Bouvet Island,0,0
Rangárþing eystra,Bouvet Island,0,0
Bādghīs,Bouvet Island,0,0
Borkou,Bouvet Island,0,0
Niue,Bouvet Island,13638.83,464
Gabon,Bouvet Island,0,0
Neuquén,Bouvet Island,0,0
"Neuquen, Argentina",Bouvet Island,5472.639999999999,119
Georgia,Belize,0,0
Borkou,Belize,0,0
Chad,Dire Dawa,0,0
Ménaka,Dire Dawa,0,0
Samoa,Dire Dawa,0,0
"Sultanbeyli, Istanbul, Turkey","Dire Dawa, Ethiopia",4273.26,172
Georgia,Dire Dawa,0,0
"Neuquen, Argentina","Dire Dawa, Ethiopia",15118.330000000002,42
Mpigi,Dire Dawa,0,0
Fier,Dire Dawa,0,0
Bouvet Island,Dire Dawa,0,0
Antigua and Barbuda,Salamat,0,0
Saint David,Salamat,0,0
"Sultanbeyli, Istanbul, Turkey","Rumaithiya , Taher Al Bagli St, Block 3 , 30AVE , 33 House Number Kuwait City, Al Kuwayt 20008, Kuwait",2126.43,60
Paraguay,Mubārak al Kabīr,0,0
Bahamas,Mubārak al Kabīr,0,0
Chalatenango,Mubārak al Kabīr,0,0
Georgia,"Mubarak Al Kabeer, Kuwait",1519.99,43
Croatia,Mubārak al Kabīr,0,0
Argentina,Mubārak al Kabīr,0,0
Chad,Mubārak al Kabīr,0,0
Botswana,Mubārak al Kabīr,0,0
Antigua and Barbuda,Mubārak al Kabīr,0,0
Suriname,Guernsey,0,0
British Indian Ocean Territory,Guernsey,0,0
Borkou,Toamasina,0,0
United States,Toamasina,0,0
Suriname,Toamasina,0,0
Georgia,Toamasina,0,0
Bermuda,Lusaka,0,0
Dire Dawa,Lusaka,0,0
Kyrgyzstan,Lusaka,0,0
Suriname,"Mubarak Al Kabeer, Kuwait",68.07,15
Australia,Lusaka,0,0
Tirol,Lusaka,0,0
Triesen,Lusaka,0,0
Fier,Mato Grosso,0,0
Guernsey,Mato Grosso,0,0
Georgia,Palau,0,0
Australia,Denmark,0,0
"Chalatenango, El Salvador","Mubarak Al Kabeer, Kuwait",19148.19,793
Mato Grosso,Denmark,0,0
Suriname,Denmark,0,0
Dominican Republic,Denmark,0,0
Jamaica,"Mubarak Al Kabeer, Kuwait",65.81,17
Belize,Denmark,0,0
Sul,Belize,0,0
Tochigi,Belize,0,0
Saint Andrew,Belize,0,0
Bermuda,Belize,0,0
Sierra Leone,Belize,0,0
Sierra Leone,Călărași,0,0
Berkane,Călărași,0,0
Dominican Republic,Călărași,0,0
Tochigi,Somalia,0,0
Guadeloupe,India,0,0
Brașov,Uruguay,0,0
Samoa,Saba,0,0
St.Pierre,Saba,0,0
Antigua and Barbuda,Saba,0,0
Argentina,Saba,0,0
"Congonhas, State of Minas Gerais, 36415-000, Brazil","Sabadell, Barcelona, Spain",9219.419999999998,376
Ménaka,Saba,0,0
Guernsey,Saba,0,0
Toamasina,Guadeloupe,0,0
Dire Dawa,Guadeloupe,0,0
Saint David,Palau,0,0
Rangárþing eystra,Palau,0,0
Sul,Palau,0,0
Mozambique,Palau,0,0
"Neuquen, Argentina","07020 Palau, Province of Olbia-Tempio, Italy",12367.08,509
Croatia,Palau,0,0
Dobrich,Palau,0,0
Fier,United States,0,0
"Badghisi, Afghanistan",Sudan,103.92,7
Brașov,Sudan,0,0
"Balikesir, Balıkesir Province, Turkey",Sudan,85.98,5
Belize,Sudan,0,0
Guadeloupe,"Toamasina, Madagascar",13967.829999999998,581
Saint David,Toamasina,0,0
United States Minor Outlying Islands,Toamasina,0,0
"Chadstone VIC 3148, Australia","Toamasina, Madagascar",9517.21,396
Chalatenango,Toamasina,0,0
Tacuarembó,Toamasina,0,0
Rangárþing eystra,Toamasina,0,0
Argentina,Toamasina,0,0
Anguilla,Toamasina,0,0
Georgia,Bahamas,0,0
Călărași,Bahamas,0,0
Palau,Bahamas,0,0
